type,msg,x,degree,numTerms,blMod,t0,buildTask,publishTaskIPFS,publishTaskETH,workerPullTask,workerProcessTask,workerSubmitResultIPFS,workerSubmitResultETH,userTriggerVerify,userVerify,oracleVerify,invokeVerification,gasUsed
MULTIVAR,test,2,64,6,1024,333437117831933,2867675,0,0,0,21047600,332413,0,0,0,355478,378224733,181439
MULTIVAR,test,2,64,6,1024,333437539413911,87919,0,0,0,4732476,20243,0,0,0,14275,349800889,159244
MULTIVAR,test,2,64,6,1024,333437901300592,78921,0,0,0,3816937,16488,0,0,0,9389,321171866,156189
MULTIVAR,test,2,64,6,1024,333438233580691,93797,0,0,0,11193541,50536,0,0,0,4322,170135033,93346
MULTIVAR,test,2,64,6,1024,333438422266697,61250,0,0,0,3209848,42832,0,0,0,4818,126631518,84663
MULTIVAR,test,2,64,6,1024,333438558959377,93441,0,0,0,3801601,32895,0,0,0,10292,209965943,136091
MULTIVAR,test,2,64,6,1024,333438779351923,71511,0,0,0,8531435,68563,0,0,0,5737,145804957,94646
MULTIVAR,test,2,64,6,1024,333438940720201,68246,0,0,0,3681405,16927,0,0,0,10115,279510551,139499
MULTIVAR,test,2,64,6,1024,333439230190628,61252,0,0,0,2584381,19483,0,0,0,6847,166054854,131755
MULTIVAR,test,2,64,6,1024,333439404761308,84707,0,0,0,2258666,29416,0,0,0,6128,116055636,92410
MULTIVAR,test,2,64,6,1024,333439528827364,64602,0,0,0,2515842,16673,0,0,0,12451,342566919,170499
MULTIVAR,test,2,64,6,1024,333439879845527,73012,0,0,0,828129,14274,0,0,0,8973,151639682,113702
MULTIVAR,test,2,64,6,1024,333440038432247,96190,0,0,0,1408784,41635,0,0,0,8654,172179517,129145
MULTIVAR,test,2,64,6,1024,333440217784379,114917,0,0,0,1910561,64622,0,0,0,9522,194860484,99288
MULTIVAR,test,2,64,6,1024,333440420100676,81113,0,0,0,996200,43560,0,0,0,9989,191169905,118258
MULTIVAR,test,2,64,6,1024,333440618414964,72532,0,0,0,785087,5805,0,0,0,13154,171666602,135583
MULTIVAR,test,2,64,6,1024,333440796619466,80075,0,0,0,1458642,9373,0,0,0,6339,138064892,93416
MULTIVAR,test,2,64,6,1024,333440941433541,77067,0,0,0,1252327,7379,0,0,0,15471,572051933,241932
MULTIVAR,test,2,64,6,1024,333441520297528,78129,0,0,0,2128660,13783,0,0,0,6598,108504993,93342
MULTIVAR,test,2,64,6,1024,333441637233648,69522,0,0,0,1118077,7660,0,0,0,7701,113713840,89087
MULTIVAR,test,2,64,6,1024,333441757488387,77568,0,0,0,1310177,10629,0,0,0,8719,140906414,106490
MULTIVAR,test,2,64,6,1024,333441905586959,73101,0,0,0,3138030,13144,0,0,0,8315,124958690,101975
MULTIVAR,test,2,64,6,1024,333442039194607,63841,0,0,0,1602418,13382,0,0,0,6240,111676839,98103
MULTIVAR,test,2,64,6,1024,333442157770933,76443,0,0,0,1263321,5743,0,0,0,10520,277922624,145193
